FEEDBACK_ID,EMPLOYEE_ID,PROJECT_NAME,CLIENT_NAME,REVIEWER_NAME,REVIEWER_ROLE,FEEDBACK_DATE,FEEDBACK_TYPE,OVERALL_RATING,TECHNICAL_RATING,COMMUNICATION_RATING,TEAMWORK_RATING,DELIVERY_RATING,STRENGTHS,AREAS_OF_IMPROVEMENT,RECOMMENDATION,FEEDBACK_CYCLE,CREATED_AT,REMARK
63,1416,Cloud Migration,TechNova Inc,Deepa Iyer,Team Lead,2025-02-08,Quarterly Review,2.6,3.2,3.0,3.4,3.8,Strong leadership and mentoring capabilities,Should focus on cross-functional collaboration,Recommend,Q4 2025,2026-03-20 07:00:05.507,"Tends to miss deadlines without proactive communication, needs improvement in time management"
121,1210,Snowflake Migration,Acme Corp,Sanjay Reddy,Practice Head,2025-02-11,Annual Appraisal,2.8,3.1,4.8,4.2,4.7,Consistent delivery and attention to detail,Presentation skills need enhancement,Recommend with Reservations,Q4 2025,2026-03-20 07:00:05.507,"Not great in customer communication, struggles to articulate technical concepts to business stakeholders"
122,1210,ETL Modernization,FinServ Global,Rajiv Kapoor,Delivery Manager,2025-07-04,Annual Appraisal,2.5,4.7,3.0,4.9,4.0,Strong technical skills and problem-solving ability,Could take on more leadership responsibilities,Recommend,Q1 2025,2026-03-20 07:00:05.507,"Technologically sound but lacks in taking initiatives, needs constant direction from leads"
124,1338,Data Warehouse Redesign,CloudScale,Manoj Gupta,Engineering Manager,2025-09-05,Project Completion,2.9,3.5,3.6,4.9,4.3,Consistent delivery and attention to detail,Should focus on cross-functional collaboration,Needs Improvement,Q3 2025,2026-03-20 07:00:05.507,"Shows reluctance to collaborate with cross-functional teams, prefers working in silos"
126,1375,Cloud Migration,Acme Corp,Sunita Desai,Tech Lead,2026-01-15,Project Completion,2.5,3.4,3.4,3.0,2.7,Consistent delivery and attention to detail,Needs to improve documentation practices,Strongly Recommend,Q1 2025,2026-03-20 07:00:05.507,"Struggles with ambiguity, needs clearly defined requirements to perform well"
131,1067,Platform Upgrade,Acme Corp,Sanjay Reddy,Practice Head,2025-07-25,Peer Review,2.6,4.8,4.0,2.7,4.0,Great team player with collaborative approach,Time management could be improved,Recommend with Reservations,Q4 2025,2026-03-20 07:00:05.507,"Resistant to adopting new tools and processes, sticks to outdated approaches"
135,1168,ETL Modernization,DataFirst LLC,Rajiv Kapoor,Delivery Manager,2025-02-18,Mid-Year Review,2.8,2.9,3.0,2.9,4.6,Proactive and self-driven with great initiative,Could be more proactive in knowledge sharing,Needs Improvement,Q1 2025,2026-03-20 07:00:05.507,"Tends to miss deadlines without proactive communication, needs improvement in time management"
136,1168,ML Pipeline,EnergyOne,Kavitha Rao,Scrum Master,2025-08-19,Project Completion,2.6,3.7,3.9,4.5,2.8,Strong technical skills and problem-solving ability,Could be more proactive in knowledge sharing,Strongly Recommend,Q3 2025,2026-03-20 07:00:05.507,"Shows reluctance to collaborate with cross-functional teams, prefers working in silos"
138,1238,Snowflake Migration,MediaStream,Sunita Desai,Tech Lead,2025-09-08,Quarterly Review,2.9,5.0,4.3,3.1,3.6,Strong technical skills and problem-solving ability,Needs to improve documentation practices,Recommend with Reservations,Q2 2025,2026-03-20 07:00:05.507,"Struggles with ambiguity, needs clearly defined requirements to perform well"
140,1238,Data Governance Setup,FinServ Global,Kavitha Rao,Scrum Master,2025-09-25,Client Feedback,2.5,3.7,4.7,4.0,3.7,Strong leadership and mentoring capabilities,Could take on more leadership responsibilities,Recommend with Reservations,Q3 2025,2026-03-20 07:00:05.507,"Frequently escalates minor issues unnecessarily, creating friction with client stakeholders"
143,1415,Platform Upgrade,RetailMax,Manoj Gupta,Engineering Manager,2025-07-30,Mid-Year Review,2.8,2.8,4.6,4.9,4.0,Strong leadership and mentoring capabilities,Presentation skills need enhancement,Recommend,Q1 2025,2026-03-20 07:00:05.507,"Resistant to adopting new tools and processes, sticks to outdated approaches"
145,1101,Data Lake Build,Acme Corp,Kavitha Rao,Scrum Master,2026-01-09,Peer Review,2.8,3.9,2.5,3.1,2.8,Proactive and self-driven with great initiative,Could be more proactive in knowledge sharing,Needs Improvement,Q4 2025,2026-03-20 07:00:05.507,"Not great in customer communication, struggles to articulate technical concepts to business stakeholders"
149,1008,Reporting Automation,FinServ Global,Arun Nair,Client Manager,2026-02-07,Peer Review,2.7,3.8,2.5,2.5,4.0,Consistent delivery and attention to detail,Should focus on cross-functional collaboration,Recommend,Q1 2026,2026-03-20 07:00:05.507,"Poor documentation habits, leaves knowledge gaps when transitioning off projects"
150,1324,Data Lake Build,HealthTech Solutions,Kavitha Rao,Scrum Master,2026-01-09,Mid-Year Review,2.8,4.8,4.6,4.3,3.6,Great team player with collaborative approach,Needs to upskill on newer technologies,Strongly Recommend,Q3 2025,2026-03-20 07:00:05.507,"Struggles with ambiguity, needs clearly defined requirements to perform well"
